	Code	Title	Header title	Title level	Full date	Full rank (NR02)	Full rank (1960)
	1011	In Maternitate Beatæ Mariæ Virginis	Festa Octobris	2	11 Octobris	Duplex II. classis	
	1013	S. Eduardi Regis Confessoris	Festa Octobris	2	13 Octobris	Semiduplex m.t.v.	
	1014	S. Callisti Papæ et Martyris	Festa Octobris	2	14 Octobris	Duplex	
	1015	S. Teresiæ Virginis	Festa Octobris	2	15 Octobris	Duplex	
	1016	S. Hedwigis Viduæ	Festa Octobris	2	16 Octobris	Semiduplex	
	1017	S. Margaritæ Mariæ Alacoque Virginis	Festa Octobris	2	17 Octobris	Duplex	
	1018	S. Lucæ Evangelistæ	Festa Octobris	2	18 Octobris	Duplex II. classis	
	1019	S. Petri de Alcantara Confessoris	Festa Octobris	2	19 Octobris	Duplex m.t.v.	
	1020	S. Joannis Cantii Confessoris	Festa Octobris	2	20 Octobris	Duplex	
	1021	S. Hilarionis Abbatis	Festa Octobris	2	21 Octobris	Simplex	
	1024	S. Raphaëlis Archangeli	Festa Octobris	2	24 Octobris	Duplex majus	
	1025	Ss. Chrysanthi et Dariæ Martyrum	Festa Octobris	2	25 Octobris	Simplex	
	1026	S. Evaristi Papæ et Martyris	Festa Octobris	2	26 Octobris	Simplex	
	1027	In Vigilia Ss. Simonis et Judæ	Festa Octobris	2	27 Octobris	Simplex	
	1028	Ss. Simonis et Judæ Apostolorum	Festa Octobris	2	28 Octobris	Duplex II. classis	
	1031	In Vigilia Omnium Sanctorum	Festa Octobris	2	31 Octobris aut 30 si 31 fuerit Dominica	Simplex	
	10H5F1	In Festo Domini Nostri Jesu Christi Regis	Festa Octobris	2	Dominica ultima Octobris	Duplex I. classis	
	1100b	Festa Novembris	Festa Novembris	1			
	1101	In Festo Omnium Sanctorum	Festa Novembris	1	1 Novembris	Duplex I. classis	
	1102	In Commemoratione\\Omnium Fidelium Defunctorum	Festa Novembris	2	2 Novembris	Duplex	
	1103	Die III infra Octavam Omnium Sanctorum	Festa Novembris	2	3 Novembris	Semiduplex	
	1104	S. Caroli Episcopi et Confessoris	Festa Novembris	2	4 Novembris	Duplex m.t.v.	
	1105	Diebus V-VII infra Octavam Omnium Sanctorum	Festa Novembris	2	5-8 Novembris	Semiduplicia	
	1106	In Octava Omnium Sanctorum	Festa Novembris	2	6 Novembris	Duplex majus	
	1109	In Dedicatione Archibasilicæ Sanctissimi Salvatoris	Festa Novembris	2	9 Novembris	Duplex II. classis	
	1110	S. Andreæ Avellini Confessoris	Festa Novembris	2	10 Novembris	Duplex	
	1111	S. Martini Episcopi et Confessoris	Festa Novembris	2	11 Novembris	Duplex	
	1112	S. Martini Papæ et Martyris	Festa Novembris	2	12 Novembris	Semiduplex	
	1113	S. Didaci Confessoris	Festa Novembris	2	13 Novembris	Semiduplex m.t.v.	
	1114	S. Josaphat Episcopi et Martyris	Festa Novembris	2	14 Novembris	Duplex	
	1115	S. Alberti Magni Episcopi\\Confessoris et Ecclesiæ Doctoris	Festa Novembris	2	15 Novembris	Duplex	
	1116	S. Gertrudis Virginis	Festa Novembris	2	16 Novembris	Duplex	
	1117	S. Gregorii Thaumaturgi Episcopi et Confessoris	Festa Novembris	2	17 Novembris	Semiduplex	
	1118	In Dedicatione Basilicarum\\Ss. Apostolorum Petri et Pauli	Festa Novembris	2	18 Novembris	Duplex majus	
	1119	S. Elisabeth Viduæ	Festa Novembris	2	19 Novembris	Duplex	
	1120	S. Felicis de Valois Confessoris	Festa Novembris	2	20 Novembris	Duplex m.t.v.	
	1121	In Præsentatione Beatæ Mariæ Virginis	Festa Novembris	2	21 Novembris	Duplex majus	
	1122	S. Cæciliæ Virginis et Martyris	Festa Novembris	2	22 Novembris	Duplex	
	1123	S. Clementis Papæ et Martyris	Festa Novembris	2	23 Novembris	Duplex	
	1124	S. Joannis a Cruce Confessoris et Ecclesiæ Doctoris	Festa Novembris	2	24 Novembris	Duplex m.t.v.	
	1125	S. Catharinæ Virginis et Martyris	Festa Novembris	2	25 Novembris	Duplex	
	1126	S. Silvestri Abbatis	Festa Novembris	2	26 Novembris	Duplex	
	CS	Commune Sanctorum	Commune Sanctorum	1			
	VIAP	In Vigiliis Apostolorum	In Vigiliis Apostolorum	2			
	APEX	Commune Apostolorum\\extra Tempus Paschale	Commune Apostolorum extra T. P.	2			
	EVEX	Commune Evangelistarum\\extra Tempus Paschale	Commune Evangelistarum extra T. P.	2			
	APTP	Commune Apostolorum\\et Evangelistarum\\Tempore Paschali	Commune Apostolorum et Evangelistarum T. P.	2			
	UMEX	Commune unius Martyris\\extra Tempus Paschale	Commune unius Martyris extra T. P.	2			
	PMEX	Commune plurimorum Martyrum\\extra Tempus Paschale	Commune plurimorum Martyrum extra T. P.	2			
	MRTP	Commune unius aut plurimorum Martyrum\\Tempore Paschali	Commune unius aut plurimorum Martyrum T. P.	2			
	COPO	Commune Confessoris Pontificis	Commune Confessoris Pontificis	2			
	CODO	Commune Doctorum Ecclesiæ	Commune Doctorum Ecclesiæ	2			
	CONP	Commune Confessoris non Pontificis	Commune Confessoris non Pontificis	2			
	COAB	Commune Abbatum	Commune Abbatum	2			
	MU	Commune Virginum aut non Virginum	Commune Virginum aut non Virginum	2			
	CDED	Commune Dedicationis Ecclesiæ	Commune Dedicationis Ecclesiæ	2			
	CBMV	Commune Beatæ Mariæ Virginis	Commune Beatæ Mariæ Virginis	2			
	CSMS	De Sancta Maria in Sabbato	De Sancta Maria in Sabbato	2			
	OPBM	Officium Parvum\\Beatæ Mariæ Virginis	Officium Parvum B. M. V.	2			
	ODEF	Officium Defunctorum	Officium Defunctorum	2			
