gregobase_id	Hudelmaier code	NR02 source letter	NR02 source page
16498	A4N1R3	H	32
16499	A4N2R1	H	32
16500	A4N2R2	H	32
16501	A4N2R3	H	32
16502	A4N3R1	H	33
16503	A4N3R2	H	33
16504	A4N3R3	H	33
16505	1224I	H	41
16506	1224R1	H	42
16507	1224R2	H	42
16508	1224R3	H	42
16509	1225I	H	44
16510	1225H	AR	260
11407	1225N1A1	H	44
16511	1225N1A2	H	44
16512	1225N1A3	H	44
16519	1225N1R1	H / K	45 / 21r
16520	1225N1R2	H	45
16521	1225N1R3	H	46
16513	1225N2A1	H	44
16514	1225N2A2	H	46
16515	1225N2A3	H	46
16522	1225N2R1	H / K	47 / 21v
16523	1225N2R2	H	47
16524	1225N2R3	H	47
16516	1225N3A1	H	46
16517	1225N3A2	H	46
16518	1225N3A3	H	46
16525	1225N3R1	H	48
16526	1225N3R2	H	48
16527	1226I	Sar / LH	56 / 478
16528	1226N1R1	H	56
16529	1226N1R2	H	56
16530	1226N1R3	H	58
16531	1226N2R1	H	57
16532	1226N2R2	H	58
16533	1226N2R3	H	57
16534	1226N3R1	H	58
16535	1226N3R2	H	58
16536	1227N1R1	H	61
16537	1227N1R2	H	62
16538	1227N1R3	Flor / W	30r / 40
16539	1227N2R1	H	61
16540	1227N2R2	H	63
16541	1227N2R3	H	63
16542	1227N3R1	H	61
16543	1227N3R2	H	63
16544	1228H	AR	285
16545	1228N1R1	H	68
16546	1228N1R2	H	65
16547	1228N1R3	H	66
16548	1228N2R1	H	65
16549	1228N2R2	H	66
16550	1228N2R3	H	67
16551	1228N3R1	H	66
16552	1228N3R2	Lc	60
16553	1228N3R3	Flor	34r
16554	N1F1N3R8	H	45
11407	0101N1A1	H	44
11408	0101N1A2	H	70
11409	0101N1A3	H	44
16555	0101N1R1	H	49
16556	0101N1R2	H	75
16557	0101N1R3	H	49
8186	0101N2A1		
11410	0101N2A2	H	46
11411	0101N2A3	Sar	78
16558	0101N2R2	H	49
16559	0101N2R3	PrM	249
11412	0101N3A1	H	47
11413	0101N3A2	H	76
11414	0101N3A3	H	53
16560	0101N3R2	H	50
16566	N2I	LR	430
8171	N2H	AR	300
16567	N2N1A1	H	377
	N2N1A2	Plant / HPS	762
	N2N1A3	Plant / HPS	762
16573	N2N1R1	Plant	762
16574	N2N1R2	Plant	763
16575	N2N1R3	Plant	763
16568	N2N2A1	Plant	764
16569	N2N2A2	Plant	764
16570	N2N2A3	Plant	764
16576	N2N2R1	Plant	765
16577	N2N2R2	Plant	765
16578	N2N2R3	Plant	765
16571	N2N3A1	Plant	766
16572	N2N3A2	Plant	766
17352	N2N3A3	Plant / HPS	767
17353	N2N3R1	Plant / HPS	767
16579	N2N3R2	Plant	767
14100	0106I	H	72
14124	0106H	AR	308
11395	0106N1A1	H	72
11400	0106N1A2	H	72
11396	0106N1A3	H	72
11397	0106N1R1	H	72
16580	0106N1R1b	H	74
11398	0106N1R2	H	75
11401	0106N1R3	Sar	85
11402	0106N2A1	H	73
11403	0106N2A2	H	73
11404	0106N2A3	H	73
11405	0106N2R1	H	74
11406	0106N2R2	H / Sar	73 / 85
16581	0106N2R3	H	74
16582	0106N3A1	H	74
11410	0106N3A1b		
16583	0106N3A2	H	74
16584	0106N3A3	H	74
16585	0106N3R1	H	73
16586	0106N3R2	H	75
16587	E1I	LH	27
16588	E1H	LH	28
17591	E1N1A1	HPS / H	120
	E1N1A2	HPS	
16589	E1N1A3	GU28	28v
17592	E1N1R1	HPS / H	293
16717	E1N1R2	HPS	
	E1N1R3	HPS	
17593	E1N2A1	LR / HPS	304
17594	E1N2A2	LR / HPS	303
17595	E1N2A3	HPS / H	292
	E1N2R1	HPS	
17596	E1N2R2	HPS / H	118
	E1N2R3	HPS	
16590	E1N3A1	AR	652
16591	E1N3A2	AR	652
17597	E1N3A3	AR / HPS	653
	E1N3R1	HPS	
16715	E1N3R2	HPS	
16593	E1F2R1	H	83
16594	E1F2R2	H	83
16595	E1F2R3	H	83
16596	E1F3R1	H	86
16597	E1F3R2	H	86
16598	E1F3R3	H	86
16599	E1F4R1	H	86
16600	E1F4R2	H	87
16601	E1F4R3	H	87
16602	E1F5R1	H	87
16603	E1F5R2	H	87
16604	E1F5R3	H	88
16605	E1F6R1	H	88
16606	E1F6R2	H	89
16607	E1F6R3	H	89
16608	E1F7R1	H	89
16609	E1F7R2	H	89
16610	E1F7R3	H	89
16611	E2N2R1	H	83
16612	E2N2R2	H	84
16613	E2N2R3	H	84
16614	E2N3R1	H	84
16615	E2N3R2	Bud118	111v
16616	E2F2R1	H	85
16617	E2F2R2	H	85
16618	E2F2R3	H	85
14259	7GN1R1	H	136
14260	7GN1R2	H	136
14261	7GN1R3	H	136
14263	7GN2R1	H	136
14264	7GN2R2	H	136
14265	7GN2R3	H	137
14266	7GN3R1	Lc	109
14267	7GN3R2	H	137
14268	7GN3R3	H	138
14269	7GF2R1	H	137
14270	7GF2R2	H	137
14280	6GN1R1	Sar / Lc	136 / 116
14281	6GN1R2	Sar / Lc	136 / 116
14282	6GN1R3	H	139
14283	6GN2R1	H	140
14285	6GN2R2	H	139
14298	6GN2R3	H	139
14299	6GN3R1	Bud118	146v
14301	6GN3R2	Bud118	147r
14313	6GN3R3	Bud118	147v
14317	6GF2R1	Bud118	148r
14321	6GF2R2	Bud118	148v
14324	5GN1R1	H	140
14325	5GN1R2	H	141
14326	5GN1R3	H	140
14327	5GN2R1	H	140
14328	5GN2R2	H	141
14329	5GN2R3	H	141
14330	5GN3R1	H	141
14331	5GN3R2	Bud118	154v
14332	5GN3R3	H	141
14333	5GF2R1	Bud118	155r
14334	5GF2R2	Bud118	155v
14335	5GF5R1	Flor	85v
14343	Q1N1R1	H	143
14344	Q1N1R2	H	144
14342	Q1N1R3	H	144
14341	Q1N2R1	H	144
14340	Q1N2R2	Lc	131
14339	Q1N2R3	H	143
14338	Q1N3R1	Sar	153
14337	Q1N3R2	Lc	131
14336	Q1N3R3	H	145
14345	Q1F5R1	H	144
14346	Q1F7R3	H	144
14723	Q2N1R1	H	149
14724	Q2N1R2	H	149
14725	Q2N1R3	H	150
14726	Q2N2R1	H	150
14727	Q2N2R2	H	150
14728	Q2N2R3	H	150
14965	Q2N3R1	H	151
14966	Q2N3R2	H	151
14967	Q2N3R3	Lc	141
14968	Q2F2R1	Sar / A	162 / 11
14969	Q2F2R2	Flor	89r
14970	Q2F7R1	H	145
14971	Q3N1R1	H	153
14972	Q3N1R2	H	153
14973	Q3N1R3	H	147
14974	Q3N2R1	H	154
14975	Q3N2R2	H	154
14976	Q3N2R3	H	154
14977	Q3N3R1	H	155
14978	Q3N3R2	H	155
14979	Q3N3R3	Plant	372
14981	Q3F2R1	H	154
14982	Q3F2R2	H	155
14983	Q3F2R3	H	156
14984	Q3F3R1	H	156
15007	Q4N1R1	H	159
15008	Q4N1R2	H	159
15009	Q4N1R3	H	159
15010	Q4N2R1	H	159
15011	Q4N2R2	H	160
15012	Q4N2R3	H	160
15013	Q4N3R1	H	160
15014	Q4N3R2	H	160
15015	Q4N3R3	H	161
15016	Q4F2R1	H	161
15017	Q4F2R2	H	161
15018	Q4F2R3	H	161
15019	Q4F3R1	Plant	394
15020	Q4F3R2	H	162
15066	Q5N1R1	H	164
15067	Q5N1R2	H	164
15068	Q5N1R3	H	167
15069	Q5N2R1	H	165
15070	Q5N2R2	H	166
15071	Q5N2R3	H	166
15072	Q5N3R1	H	165
15073	Q5N3R2	H	166
15074	Q5N3R3	Plant	406
15075	Q5F2R1	H	165
15076	Q5F2R2	H	164
15077	Q5F2R3	H	166
15078	Q5F3R1	H	165
15079	Q5F3R2	H	166
15080	Q5F3R3	H	165
15094	Q6N1R1	H	170
15095	Q6N1R2	H	170
15096	Q6N1R3	H	170
15097	Q6N2R1	H	171
15098	Q6N2R2	H	171
15099	Q6N2R3	H	171
15100	Q6N3R1	H	171
15101	Q6N3R2	H	172
15102	Q6N3R3	H	9mt
15103	Q6F2R1	H	173
15104	Q6F2R2	H	172
15105	Q6F2R3	H	173
15106	Q6F3R1	H	173
15107	Q6F3R2	H	172
15108	Q6F3R3	H	172
15111	Q6F5N1A1	H	178
15112	Q6F5N1A2	H	178
15113	Q6F5N1A3	H	178
15120	Q6F5N1R1	H	178
15121	Q6F5N1R2	H	178
15122	Q6F5N1R3	H	178
15114	Q6F5N2A1	H	179
15115	Q6F5N2A2	H	179
15116	Q6F5N2A3	H	179
15123	Q6F5N2R1	H	179
15124	Q6F5N2R2	H	179
15125	Q6F5N2R3	H	179
15117	Q6F5N3A1	H	180
15118	Q6F5N3A2	H	180
15119	Q6F5N3A3	H	180
15126	Q6F5N3R1	H	180
15127	Q6F5N3R2	H	180
15128	Q6F5N3R3	H	180
15129	Q6F6N1A1	H	217
15130	Q6F6N1A2	H	217
15131	Q6F6N1A3	H	217
15139	Q6F6N1R1	H	217
15140	Q6F6N1R2	H	217
15141	Q6F6N1R3	H	217
15132	Q6F6N2A1	H	217
15134	Q6F6N2A2	H	218
15135	Q6F6N2A3	H	218
15143	Q6F6N2R1	H	219
15144	Q6F6N2R2	H	218
15145	Q6F6N2R3	H	197
15136	Q6F6N3A1	H	219
15137	Q6F6N3A2	H	219
15138	Q6F6N3A3	H	219
15146	Q6F6N3R1	H	219
15147	Q6F6N3R2	H	219
15148	Q6F6N3R3	H	219
15151	Q6F7N1A1	H	222
15152	Q6F7N1A2	H	222
15153	Q6F7N1A3	H	222
15160	Q6F7N1R1	H	224
15161	Q6F7N1R2	H	222
15162	Q6F7N1R3	H	222
15154	Q6F7N2A1	H	222
15155	Q6F7N2A2	H	223
15156	Q6F7N2A3	H	223
15163	Q6F7N2R1	H	223
15164	Q6F7N2R2	H	223
15165	Q6F7N2R3	H	223
15157	Q6F7N3A1	H	223
15158	Q6F7N3A2	H	224
15159	Q6F7N3A3	H	224
15166	Q6F7N3R1	Lc	205
15167	Q6F7N3R2	H	224
15168	Q6F7N3R3	H	222
15169	P0I	H	232
10036	P0A1	H	226
10037	P0A2	H	226
15170	P0A3	H	226
10062	P0R1	H	228
10059	P0R2	H	229
10058	P0F2R1	H	232
10063	P0F2R2	H	237
15171	P0F3R1	H	234
15172	P0F3R2	H	236
15173	P0F4R1	H	236
10038	P0F4R2	W	305
10042	P0F5R1	H	235
10044	P0F5R2	H	233
10041	P0F6R1	H	232
10045	P0F6R2	H	235
10052	P0F7R1	H	203mt
10051	P0F7R2	H	236
10057	P1N1R2	H	229
10158	P3N1R1	H	247
10160	P3N1R2	H	247
10161	P3N1R3	H	247
10162	P3N2R1	H	247
10163	P3N2R2	H	248
10165	P3N2R3	H	249
10167	P3N3R1	H	248
10168	P3N3R2	Sar	pl.I
10174	P3F2R1	H	249
10173	P3F2R2	H	248
10181	P3F3R1	H	248
10197	P3F3R2	H	249
10199	P3F4R1	H	248
