gregobase_id	Hudelmaier code	NR02 source letter	NR02 source page
17341	0325N1R1		
17343	0325N1R2		
17344	0325N1R3		
17345	0325N2R1		
17346	0325N2R2		
17347	0325N2R3		
17060	0325N3R1	H	48
17340	0325N3R2		
17348	Q5F6I	Plant	877
17349	Q5F6H	AR	672
17350	Q5F6N1A1		
16882	Q5F6N1A2	H	372
	Q5F6N1A3	HPS	
16800	Q5F6N1R1	Plant	879
16801	Q5F6N1R2	Plant	679
17351	Q5F6N1R3	H	63
16802	Q5F6N2A1	Plant	880
16804	Q5F6N2A2	Plant	881
16805	Q5F6N2A3	Plant	881
16811	Q5F6N2R1	Plant / H	881 / 218
16844	Q5F6N2R2	Plant / HPS	882
16845	Q5F6N2R3	Plant / HPS	882
16846	Q5F6N3A1	Plant	883+1044
16847	Q5F6N3A2	Plant	883
17354	Q5F6N3A3	Plant	883
17615	Q5F6N3R1	Plant / HPS	884
17355	Q5F6N3R2	Plant	884
17356	Q6F4R1	Bud118	225v
17357	0413H	AR	680
17358	P2F4I	LR	435
17359	P2F4H	AR	650
	P2F4N1A	HPS	
17616	P2F4N1R1	H / HPS	373
17322	P2F4N1R2		
	P2F4N1R3	HPS	
	P2F4N2A	HPS	
	P2F4N2R1	HPS	
	P2F4N2R2	HPS	
17617	P2F4N2R3	H / HPS	367
17360	P2F4N3A	LR	1*suppl3005
17361	P2F4N3R1	LR	2*suppl3005
17362	P2F4N3R2	LR	312
17363	0503I	LH	431
14115	0503H	AR	527
16872	0503N1A	Plant	896
10646	0503N1R1	Plant	896
17364	0503N1R2	H	256
17365	0503N1R3	Plant	897
16873	0503N2A	Plant	898
16874	0503N2R1	Plant	898
16875	0503N2R2	Plant	899
17366	0503N2R3	H	255
17367	0503N3A	H	258
17368	0503N3R1	H	255
17369	0503N3R2	Plant	901
17370	0508H	AR	707
17371	0508N1A	H	314
17374	0508N1R1	H	313
17375	0508N1R2	H	313
17376	0508N1R3	H	314
17372	0508N2A	H	313
17377	0508N2R1	H	315
17378	0508N2R2	H	315
17379	0508N2R3	H	315
17373	0508N3A	H	314
17380	0508N3R1	H	313
17381	0508N3R2	Lc	470
17382	0518H	AR	711
17383	0619H	AR	729
17384	0624I	H	273
17385	0624H	AR	733
17386	0624N1A1	H	274
17387	0624N1A2	H	274
17388	0624N1A3	H	274
17395	0624N1R1	H	274
17396	0624N1R2	H	274
17397	0624N1R3	H	275
17389	0624N2A1	H	274
17390	0624N2A2	H	274
17391	0624N2A3	H	274
17398	0624N2R1	H	275
17399	0624N2R2	H	276
17400	0624N2R3	H	276
17392	0624N3A1	H	275
17393	0624N3A2	H	275
17394	0624N3A3	H	275
17401	0624N3R1	H	276
17402	0624N3R2	H	276
17403	0629N2R1	H	281
17036	0701I	ACvig	322
17404	0701H	AR	527
17037	0701N1A1	ACvig	322
17044	0701N1A2	ACvig	322
17058	0701N1A3	ACvig	322
	0701N1R1	HPS	
	0701N1R2	HPS	
17618	0701N1R3	HPS / H	373
17059	0701N2A1	ACvig	323
17064	0701N2A2	ACvig	323
17065	0701N2A3	ACvig	323
17619	0701N2R1	HPS / H	113
17620	0701N2R2	HPS / H	373
17621	0701N2R3	HPS / H	378
17405	0701N3A1	ACvig	324
17406	0701N3A2	ACvig	324
17407	0701N3A3	ACvig	325
17408	0701N3R1	PrM	163
	0701N3R2	HPS	
17409	0702I	LR / K	442 / 138r
17622	0702N1R1	ACvig / HPS	327
17410	0702N1R3	PrM	164
17411	0702N2R1	ACvig	329
17412	0702N2R3	Plant	949
17414	0707H	AR	776
17415	0708I	Lc	538
17416	0708H	AR	781
17417	0722I	Lc	538
17418	0722H	AR	789
17419	0722N1R1	H	232
17420	0722N1R2	H	233
17421	0722N1R3	H	235
17422	0801N2R2	H	281
17423	0806I	LH	408
17424	0806H	AR	803
17426	0806N1A1	ACvig	345
17427	0806N1A2	ACvig	346
8186	0806N1A3	H	70
17428	0806N1R1	Plant	984
17429	0806N1R2	Plant	985
17430	0806N1R3	Plant	985
17431	0806N2A1	Plant	986
17432	0806N2A2	Plant	986
17433	0806N2A3	Plant	986
17434	0806N2R1	Plant	986
17435	0806N2R2	Plant	987
17436	0806N2R3	Plant	987
17437	0806N3A1	Plant	988
17438	0806N3A2	Plant	988
17439	0806N3A3	Plant	988
17440	0806N3R1	Plant	989
17441	0806N3R2	Plant	989
17442	0810I	LR	446
17443	0810N1A1	H	289
17444	0810N1A2	H	289
17445	0810N1A3	H	290
17446	0810N1R1	H	290
17447	0810N1R2	H	291
17448	0810N1R3	H	292
17449	0810N2A1	H	290
17450	0810N2A2	H	290
17451	0810N2A3	H	292
17452	0810N2R1	H	291
17453	0810N2R2	H	291
17454	0810N2R3	H	293
17455	0810N3A1	H	291
17457	0810N3A2	H	292
17456	0810N3A3	H	292
17458	0810N3R1	H	293
17459	0810N3R2	H	292
17460	0815I	Sar	493
15775	0815N1A1	H	296
15778	0815N1A2	H	296
14126	0815N1A3	H	21
17461	0815N1R1	H	296
17462	0815N2R3	H	119
15779	0815N3R1	H	297
16408	0815N3R2	H	298
17463	0829N1R1	H	301
17464	0829N1R2	H	301
17465	0829N1R3	K	129r
17466	0908I	Lc	455
17467	0908N1R1	H	305
17468	0908N1R2	H	305
17469	0908N1R3	H	305
17470	0908N2R1	H	306
17471	0908N2R2	Lc	460
17472	0908N2R3	H	307
17473	0914I	Plant	1033
17474	0914N1A1	Plant	1033
17475	0914N1A2	Plant	1033
17476	0914N1A3	Plant	1034
17477	0914N2A1	Plant	1034
17478	0914N2A2	Plant	1034
17479	0914N2A3	Plant	1034
17480	0914N3A1	H	258
17481	0914N3A2	Plant	1035
17482	0914N3A3	Plant	1034
17483	0915I	Plant	1039
17484	0915H	AR	527
17485	0915N1A1	Plant	1040
17486	0915N1A2	Plant	1040
17487	0915N1A3	Plant	1041
17490	0915N1R1	Plant	1041
17491	0915N1R2	LR	312
17623	0915N1R3	Plant / HPS	1042
	0915N2A1	HPS	
17488	0915N2A2	Plant	1041
17489	0915N2A3	Plant	1043
17492	0915N2R1	Plant	1043
17493	0915N2R2	Plant	1043
17494	0915N2R3	Plant	1044
17495	0915N3A1	Plant	883+1044
17496	0915N3A2	Plant	1045
17497	0915N3A3	Plant	883+1044
17498	0915N3R1	Plant	1045
17499	0915N3R2	Plant	1045
17501	0917H	AR	[72]
16170	0929N1A1	H	314
16171	0929N1A2	H	314
16172	0929N1A3	H	313
16173	0929N2A1	H	313
16174	0929N2A2	H	314
16175	0929N2A3	H	313
16176	0929N3A1	H	314
16177	0929N3A2	H	313
16178	0929N3A3	Plant	913
17502	1002I	H	312
17503	1002H	AR	863
17504	1002N1A1	Plant	1055
17505	1002N1A2	Plant	1055
17506	1002N1A3	Plant	1056
17513	1002N1R1	H	145
17514	1002N1R2	Plant	1056
17515	1002N1R3	H	313
17507	1002N2A1	Plant	1057
17508	1002N2A2	Plant	1057
17509	1002N2A3	Plant	1057
17516	1002N2R1	Plant	1058
17517	1002N2R2	Plant	1058
17518	1002N2R3	Plant	1059
17510	1002N3A1	Plant	1060
17511	1002N3A2	Plant	1060
17512	1002N3A3	Plant	1060
17519	1002N3R1	Plant	1060
17520	1002N3R2	Plant	1061
17195	1007I	ACvig	411
17207	1007H	AR	[122]
17208	1007N1A1	H	20
17209	1007N1A2	AR	771
17210	1007N1A3	ACvig	412
	1007N1R1	HPS	
17211	1007N1R2	H	296
17258	1007N2A1	H / ACvig	120 / 412
17259	1007N2A2	ACvig	413
17260	1007N2A3	ACvig	413
	1007N2R1	HPS	
	1007N2R2	HPS	
17261	1007N3A1	ACvig	413
17262	1007N3A2	ACvig	413
17263	1007N3A3	ACvig	413
17264	1007N3R1	HPS / H	297
17265	1007N3R2	HPS / H	281
	1011I	HPS	
11309	1011H	AR	[122]
17624	1011N1R1	HPS / H	307
17266	1011N1R2	HPS / H	47
17267	1011N1R3	HPS / H	361
17625	1011N2R1	HPS / H	305
	1011N2R2	HPS	
	1011N2R3	HPS	
17527	1011N3R1	H	298
17528	1015H	AR	883
17529	1020H	AR	886
17530	1024H	AR	659
17269	1024N1A1	Plant	1071
17270	1024N1A2	Plant	1071
17271	1024N1A3	Plant	1071
17272	1024N1R1	Plant	1071
17302	1024N1R2	Plant	1072
17303	1024N1R3	Plant	1072
17329	1024N2A1	Plant	1073
17330	1024N2A2	Plant	1073
17331	1024N2A3	Plant	1074
17332	1024N2R1	Plant	1074
17333	1024N2R2	Plant	1074
17542	1024N2R3	Plant	1075
17543	1024N3A1	Plant	1076
17544	1024N3A2	Plant	1076
17545	1024N3A3	Plant	1077
17546	1024N3R1	Plant	1077
17547	1024N3R2	Plant	1077
16396	10H5I	LH	124
16411	10H5H	LH	125
16192	10H5N1A1	OReg	26
16193	10H5N1A2	OReg	27
16194	10H5N1A3	H / OReg	44 / 28
16195	10H5N1R1	OReg	30
16210	10H5N1R2	H	16
16211	10H5N1R3	OReg	32
16221	10H5N2A1	OReg	33
16222	10H5N2A2	OReg	34
16223	10H5N2A3	OReg	35
16224	10H5N2R1	OReg	38
16261	10H5N2R2	OReg	39
16262	10H5N2R3	OReg	41
16263	10H5N3A1	OReg	42
16297	10H5N3A2	OReg	43
16298	10H5N3A3	OReg	44
16109	10H5N3R1	OReg	47
16299	10H5N3R2	OReg	48
16407	1101I	K	138r
16417	1101H	AR	895
16397	1101N1A1	H	331
16398	1101N1A2	H	331
16399	1101N1A3	H	331
16400	1101N1R1	H	416
16401	1101N2A1	H	331
16402	1101N2A2	H	331
16403	1101N2A3	H	331
16404	1101N3A1	H	332
16405	1101N3A2	H	332
16406	1101N3A3	H	332
17551	1111I	HPS / Lc	538
17552	1111N1A1	H	335
17553	1111N1A2	H	335
17554	1111N1A3	H	335
17561	1111N1R1	H	335
17562	1111N1R2	H	336
17563	1111N1R3	H	336
17555	1111N2A1	H	335
17556	1111N2A2	H	335
17557	1111N2A3	H	336
17564	1111N2R1	H	337
17565	1111N2R2	H	337
17566	1111N2R3	H	337
17558	1111N3A1	H	336
17559	1111N3A2	H	336
17560	1111N3A3	H	337
17567	1111N3R1	H	337
17568	1111N3R2	H	338
7925	1122N1A1	H	349
7924	1122N1A2	H	349
7926	1122N1A3	H	349
7942	1122N1R1	H	349
7943	1122N1R2	H	349
7944	1122N1R3	H	350
7927	1122N2A1	H	349
7929	1122N2A2	H	349
7930	1122N2A3	H	349
7962	1122N2R1	H	350
7976	1122N2R2	H	351
17574	1122N2R3	H	351
7931	1122N3A1	H	350
7932	1122N3A2	H	350
7933	1122N3A3	H	350
17575	1122N3R1	H	351
17576	1122N3R2	H	351
17577	1123N2R1	H	353
17578	1123N2R2	Plant	1111
17579	1123N2R3	H	353
16621	APEXIa	H	450
16622	APEXIb	Lc	505
16623	APEXIc	W / H	411 / 443
16624	APEXH	LH	270
16625	APEXN1A1	H	360
16626	APEXN1A2	H	360
16627	APEXN1A3	H	360
16634	APEXN1R1	H	360
16635	APEXN1R2	H	361
16636	APEXN1R3	H	361
16628	APEXN2A1	H	361
16629	APEXN2A2	H	361
16630	APEXN2A3	H	361
16637	APEXN2R1	H	361
16638	APEXN2R2	H	363
16639	APEXN2R3	H	362
16631	APEXN3A1	H	361
16632	APEXN3A2	H	361
16633	APEXN3A3	H	361
16640	APEXN3R1	H	362
16641	APEXN3R2	H	362
16646	APTPI	LR	162
16647	APTPH	LH	271
10097	APTPN1A	H	246
10094	APTPN1R1	H	252
10095	APTPN1R2	H	252
10096	APTPN1R3	H	252
10098	APTPN2A	H	246
10099	APTPN2R1	H	253
16650	APTPN2R2	H	234
16648	APTPN2R3	H	236
10100	APTPN3A	H	255
16649	APTPN3R1	W	305
10102	APTPN3R2	K	95v
16651	UMEXIa	H	451
16080	UMEXIb	H	450
16652	UMEXIc	Lc	513
16878	UMEXHa	AR	13.1
16879	UMEXHb	AR	13.2
16880	UMEXN1A1	H	372
16881	UMEXN1A2	H	372
16882	UMEXN1A3	H	372
16889	UMEXN1R1	H	372
16890	UMEXN1R2	H	373
16891	UMEXN1R3	H	373
16883	UMEXN2A1	H	65
16884	UMEXN2A2	H	65
16885	UMEXN2A3	H	65
16892	UMEXN2R1	Lc	526
16893	UMEXN2R2	H	373
16894	UMEXN2R3	H	373
16886	UMEXN3A1	H	373
16887	UMEXN3A2	H	65
16888	UMEXN3A3	H	373
16895	UMEXN3R1	H	373
16896	UMEXN3R2a	H	374
16897	UMEXN3R2b	Lc	523
16651	PMEXIa		
16080	PMEXIb		
16652	PMEXIc		
16081	PMEXH	LH	275
16082	PMEXN1A1	H	65
16083	PMEXN1A2	H	370
16084	PMEXN1A3	H	370
9838	PMEXN1R1	H	367
9839	PMEXN1R2	H	367
15521	PMEXN1R3	H	367
16085	PMEXN2A1	H	370
16086	PMEXN2A2	H	66
16087	PMEXN2A3	H	370
15661	PMEXN2R1	H	367
16088	PMEXN2R2	H	368
16089	PMEXN2R3	Lc	519
16090	PMEXN3A1	H	333
16091	PMEXN3A2	LR	181
16092	PMEXN3A3	H	370
16093	PMEXN3R1	H	368
16094	PMEXN3R2a	H	331
16095	PMEXN3R2b	H	278
16653	MRTPI	W	304
16902	COPOIa	H	450
16903	COPOIb	Lc	18
16904	COPOIc	H	443
16905	COPOId		
16906	COPOF1H	AR	[49]
16907	COPOF2H	AR	[51]
16908	COPOF3H	AR	[52]
16909	COPOF4H	AR	[53]
16910	COPOF5H	AR	[68]
16911	COPOF6H	AR	[69]
16912	COPOF7H	AR	[80]
16913	COPOH	AR	[72]
16914	COPON1A1	H	376
16915	COPON1A2	H	376
16916	COPON1A3	H	376
16922	COPON1R1	H	377
16923	COPON1R2	H	377
16924	COPON1R3	H	377
16917	COPON2A1	H	376
16918	COPON2A2	H	376
16919	COPON2A3	H	377
16925	COPON2R1	H	379
16926	COPON2R2	H	378
16927	COPON2R3	H	378
16920	COPON3A1	H	377
15194	COPON3A2	H	377
16921	COPON3A3	H	378
16928	COPON3R1	H	378
16409	COPON3R2	H	192am
16922	CONPN1R1		
16929	CONPN1R2		
16935	CONPN1R3		
16936	CONPN2R1		
16928	CONPN2R2		
16937	CONPN2R3	H	379
16927	CONPN3R1	H	378
16409	CONPN3R2		
16938	MUVXIa	H	451
16939	MUVXIb	H	450
16940	MUVXIc	Lc	513
16941	MUVXId		
16942	MUNXIa	Lc	538
16943	MUNXIb	Lc	538
16944	MUVMHa	LH	288
16945	MUVMHb	LH	597
16946	MUXXN1A1	H	120
16947	MUVXN1A2	H	115
16948	MUNXN1A2	W	434
16949	MUXXN1A3	H	299
16955	MUXMN1R1	H	383
16956	MUXNN1R1	H	298
16957	MUXXN1R2	H	397
16958	MUXXN1R3	H	384
16950	MUXXN2A1	H	117
14130	MUXXN2A2	H	117
16951	MUXXN2A3	H	300
16959	MUXXN2R1	H	383
16960	MUXXN2R2	H	383
16961	MUVXN2R3	Lc	544
16962	MUNXN2R3	LR	222
16952	MUXXN3A1	H	299
16953	MUXXN3A2	LR	219
16954	MUXXN3A3	H	383
16963	MUVXN3R1	H	382
16964	MUNXN3R1	LR	226
16410	MUVXN3R2	Bud121	120r
16965	MUNXN3R2	H	208m.t
16427	CDEDI	LR	231
16977	CDEDH	AR	[104]
16428	CDEDN1A1	H	327
16429	CDEDN1A2	H	327
16430	CDEDN1A3	H	327
16431	CDEDN1R1	H	327
16432	CDEDN1R2	H	328
16433	CDEDN1R3	H	328
16434	CDEDN2A1	H	328
16435	CDEDN2A2	H	328
16436	CDEDN2A3	H	329
16437	CDEDN2R1	Sar	pl.v
16438	CDEDN2R2	Lc	550
16439	CDEDN2R3	Lc	552
16441	CDEDN3A1	H	328
16442	CDEDN3A2	H	328
16443	CDEDN3A3	H	328
16445	CDEDN3R1	Sar	pl.v
16978	CDEDN3R2	KA	223v
17042	CBMVI	LR	245
17043	CBMVH	AR	[122]
14126	CBMVN1A1	H	21
14127	CBMVN1A2	H	118
14128	CBMVN1A3	H	115
14156	CBMVN1R1	H	47
17060	CBMVN1R2	H	48
14157	CBMVN1R3	H	119
14129	CBMVN2A1	H	117
14130	CBMVN2A2	H	117
14131	CBMVN2A3	H	117
17061	CBMVN2R1	H	296
17062	CBMVN2R2	H	297
17063	CBMVN2R3	H	297
14132	CBMVN3A1	H	117
14133	CBMVN3A2	H	117
14142	CBMVN3A3a	H	116
14134	CBMVN3A3b	H	20
14155	CBMVN3R1	H	307
17066	CBMVN3R2	H	297
17067	CSMSI	KA	58v
14248	OPBMR1	H	16
16452	OPBMR2	H	16
17069	OPBMR3	H	28
17070	MRTPN2R2	W	307
17071	MRTPN2R3	H	252
	ODEFIa	HPS	
17080	ODEFIb	AR	[152]
17081	ODEFIP	AR	[152]
17082	ODEFN1A1	H	390
17083	ODEFN1A2	H	390
17084	ODEFN1A3	H	390
17091	ODEFN1R1	H	390
17092	ODEFN1R2	H	390
17093	ODEFN1R3	H	390
17085	ODEFN2A1	H	391
17086	ODEFN2A2	H	391
17087	ODEFN2A3	H	391
17094	ODEFN2R1	H	403
17095	ODEFN2R2	H	391
17096	ODEFN2R3	H	391
17088	ODEFN3A1	H	391
17089	ODEFN3A2	H	93
17090	ODEFN3A3	H	391
17097	ODEFN3R1	H	391
17098	ODEFN3R2	H	392
17099	ODEFN3R3a	H	392
17100	ODEFN3R3b	H	392
17584	0501I	LH	370
17585	0501H	HWL	
	0501N1A	HPS	
	0501N1R1	HPS	
	0501N1R2	HPS	
17626	0501N1R3	HPS / OReg	30
17627	0501N2A	HPS / AM	837
17628	0501N2R1	HPS / H	21
17629	0501N2R2	HPS / H	111
17630	0501N2R3	HPS / H	85+141
17631	0501N3A	HPS / H	234
17632	0501N3R1	HPS / H	151
	0501N3R2	HPS	
17586	0531I	LH	419
17587	0531H	LH	420
	0531N1R2	HPS	
	0531N1R3	HPS	
17633	0531N2R1	HPS / H	28
	0531N2R2	HPS	
17588	0531N2R3	LR	268
	0531N3R2	HPS	
15777	0815H	AR	733
17634	1228N3A2	Flor	35r
